mouse,age,treatment,MAP,PP,HR
90321,Adult,hyper2,85.03510759170781,4.66645943169717,5.53463232060005
100321,Adult,baseline,,,
100321,Adult,hyper1,,,
100321,Adult,hyper2,,,
100920,Adult,ablation,,,
100920,Adult,after_hyper1,,,
110321,Adult,ablation,87.68812213235294,8.239644955882298,6.880971836081086
110321,Adult,after_hyper1,89.37953479452055,8.55735876712329,6.660082612394596
110321,Adult,baseline,85.53476429701644,8.557299020405052,6.35234996272938
110321,Adult,hyper1,128.44131082879872,3.3057853736540697,5.361252704522254
110321,Adult,hyper2,131.91872546817703,5.978755930995165,6.229204935847981
120820,Old,ablation,55.08963755882354,12.947542470588246,6.268724356999428
120820,Old,after_hyper1,56.43531836065573,14.229371147540988,6.096951524237879
121020,Adult,ablation,54.69145777941176,7.38075470588231,5.6417480060154315
121020,Adult,after_hyper1,60.07342076190474,7.824513428571429,5.794102964336654
130520,Adult,ablation,,,
130520,Adult,after_hyper1,,,
130520,Adult,baseline,,,
130520,Adult,hyper1,,,
130520,Adult,hyper2,,,
140920,Adult,ablation,,,
140920,Adult,after_hyper1,50.325013816666655,6.123060658757083,6.083958629081324
150321,Adult,ablation,50.85498207843137,17.457819784313727,5.161943319838057
150321,Adult,after_hyper1,59.074700928571424,17.014108446428594,5.576995451462263
150321,Adult,baseline,70.04179525904591,12.568566093698461,6.125677162108696
150321,Adult,hyper1,,,
150321,Adult,hyper2,54.776204410786086,10.853136007621398,5.232379553559976
150720,Old,ablation,44.16662114285714,9.196875228571407,7.049345417925479
150720,Old,after_hyper1,43.879940746666676,9.047241106666633,7.579586415319492
150720,Old,baseline,51.83275186968018,8.994474231796067,7.381085246926824
150720,Old,hyper1,75.44863580878398,10.458200812492553,8.358059068750226
150720,Old,hyper2,61.509273422970715,7.081658955086111,8.221874921362428
160321,Adult,ablation,,,
160321,Adult,after_hyper1,61.316395000000014,11.772230568627485,5.193482159523203
160321,Adult,baseline,63.246707430016805,11.323404929674137,4.62602501936363
160321,Adult,hyper1,121.57908147273098,18.577172024075427,4.487764631172191
160321,Adult,hyper2,87.68781248182685,12.797666375305928,4.924659210453674
160421,Old,ablation,,,
160421,Old,after_hyper1,30.337616568965515,6.741701344827582,5.863280036117807
160421,Old,baseline,39.97173924604154,12.357230185243859,4.7937950212626985
160421,Old,hyper1,56.49701945016606,10.08252538119061,7.690681079274924
160421,Old,hyper2,,,
170321,Old,ablation,,,
170321,Old,after_hyper1,,,
170620,Old,ablation,43.84335653731344,8.265219238805976,6.717540842648325
170620,Old,after_hyper1,46.778367696969696,8.389039454545475,6.669934260723689
170620,Old,baseline,49.07978043743595,8.823398675788923,6.339371882011187
170620,Old,hyper1,65.30325086262403,9.272648758787552,6.347280872309634
170620,Old,hyper2,113.7003802663037,7.106773145559928,7.720194797262899
170720,Old,ablation,49.654156376811585,9.353770420289884,6.258418820462199
170720,Old,after_hyper1,53.806299948051944,9.801453389610401,7.0159472480949185
170720,Old,baseline,55.60530699589647,7.777888342302784,6.0936140197540105
170720,Old,hyper1,111.10415149501631,22.63892494527146,7.452153072429617
170720,Old,hyper2,94.70807407015242,13.763422333118317,7.9445342654898825
180521,Adult,ablation,52.03622712499999,16.021854314716307,4.316547150768629
180521,Adult,after_hyper1,56.74645731707316,6.571235368902435,4.144061317552747
180521,Adult,baseline,55.063799921726094,19.188116495110638,3.8826523731507967
180521,Adult,hyper1,64.46501622818121,19.246509363255914,4.014148896129502
180521,Adult,hyper2,59.81219789611408,17.028541320018604,4.432218275245469
180820,Old,ablation,58.67451271666666,8.752415633333293,5.493077897886978
180820,Old,after_hyper1,58.515486846153856,9.529274980769266,5.26209322627942
180820,Old,baseline,58.73409414179596,7.292189498849528,6.022251594793682
180820,Old,hyper1,142.04176051644797,9.697089204963936,2.56257970206484
180820,Old,hyper2,127.94508648556439,11.651148546895834,2.1324245861763065
190520,Adult,ablation,,,
190520,Adult,after_hyper1,,,
200520,Adult,ablation,55.58596069811318,3.141287175360681,5.334339812543245
200520,Adult,after_hyper1,60.58346101886792,3.2639556603773627,5.413771490629886
200520,Adult,baseline,64.59511501729936,3.348562406498015,5.255952446435888
200520,Adult,hyper1,118.77235027102614,3.7449848258864287,6.459235735361077
200520,Adult,hyper2,81.75926205321564,2.7926890561752318,6.6557709257931625
200820,Old,ablation,44.94042983098591,5.9344548028169015,6.4929132595256736
200820,Old,after_hyper1,44.8511894927536,6.789884782608681,6.308571428571428
200820,Old,baseline,46.64481546773304,7.38811938780161,6.191448035582852
200820,Old,hyper1,67.8146145300156,7.932228947925427,6.319526476625966
200820,Old,hyper2,58.53195975737169,7.739419452329268,6.619711710492265
210521,Adult,ablation,55.32656454999999,13.275858500000034,5.45268658411905
210521,Adult,after_hyper1,58.13689357692305,15.37902548076923,5.2614931753374385
210521,Adult,baseline,60.185213273798006,20.928648586666547,4.797090263908941
210521,Adult,hyper1,,,
210521,Adult,hyper2,,,
210920,Adult,ablation,44.73504378688525,4.1929278032787,6.171059128761781
210920,Adult,after_hyper1,47.05723089655172,5.1101947931034175,5.815993983454501
220120,Adult,ablation,,,
220120,Adult,after_hyper1,,,
220221,Adult,ablation,61.35847543749998,14.690557833333294,4.825332998240766
220221,Adult,after_hyper1,65.8598918695652,13.532986760869562,4.632426522414249
220221,Adult,baseline,,,
220221,Adult,hyper1,,,
220221,Adult,hyper2,,,
220920,Adult,ablation,54.69145777941176,7.38075470588231,5.6417480060154315
220920,Adult,after_hyper1,60.07342076190474,7.824513428571429,5.794102964336654
230920,Adult,ablation,,,
230920,Adult,after_hyper1,,,
240521,Adult,ablation,53.13196974324325,14.842337513513492,6.195345955653044
240521,Adult,after_hyper1,58.468786873239445,16.55384115492958,6.445022055591674
240521,Adult,baseline,60.21450817123025,17.782507353898353,6.180161082199255
240521,Adult,hyper1,,,
240521,Adult,hyper2,69.86965367949185,16.54620999585524,6.548343050828177
260221,Adult,ablation,61.35847543749998,14.690557833333294,4.825332998240766
260221,Adult,after_hyper1,65.8598918695652,13.532986760869562,4.632426522414249
260221,Adult,baseline,63.47062552686164,18.294558469192022,4.366194884482664
260221,Adult,hyper1,134.95931270862562,50.94844062323967,3.987516663879008
260221,Adult,hyper2,126.00394894362873,41.760140663043586,4.282696539611378
260520,Adult,ablation,55.35112382000001,12.481842000000007,5.0179774058542135
260520,Adult,after_hyper1,56.51028787755101,13.99928502040818,4.832347140039447
260520,Adult,baseline,56.29048921200047,13.725415412418645,4.663896336218294
260520,Adult,hyper1,114.96438256722472,26.017202471470135,5.491243291510681
260520,Adult,hyper2,98.46300560225357,11.522718835829451,7.1005465745133645
260820,Old,ablation,52.14501247619048,9.021783492063463,5.779152706496464
260820,Old,after_hyper1,57.88929492727275,10.645626818181796,5.506195020017022
260820,Old,baseline,59.75113578029965,7.041507745192496,6.191464655547975
260820,Old,hyper1,,,
