,mouse,treatment,vessel,age,pulse_freq,diam_mean,pressure_d,pressure_s,speed,flux,diam_mean_before_stim,diam_max_after_stim,diam_min_after_stim,power_diam_h1,power_diam_h2,power_diam_h3,power_center_h1,power_center_h2,power_center_h3
111,270520,after_hyper,cap1,adult,5.926669509743881,8.174003039513678,66.69333347169812,,,,5.131523128549412,5.85,4.5,440.2987136304547,19.25551646055831,,323.0135808127961,16.632091411156928,
112,270520,after_hyper,cap2,adult,5.759832608812913,5.82743504531722,64.85745221153847,,,137.04608045842008,,,,144.48473196491915,5.499491751717236,,23.534610772144223,2.5858506902310916,
113,270520,after_hyper,cap3,adult,5.821325348803358,7.363826219512196,65.15951369230771,,,107.6496957668713,,,,1294.3923765819618,40.28263862539954,,525.3249900666179,16.539680918586864,
114,270520,after_hyper,cap4,adult,5.905858964801321,6.387111445783133,66.69546530188678,,,121.41718656768111,,,,275.62615292514596,23.81738597467416,,654.0563359978693,61.23583718128833,
115,270520,after_hyper,cap5,adult,5.919909887707473,5.906857142857143,65.87196892452832,,,128.45038229092782,,,,457.6205617455314,25.849930574730834,,420.16273558608145,50.63685301991163,
116,270520,after_ablation,pen_art,adult,6.063070333056022,11.73339058171745,65.37097250000001,,,,14.979497247383582,15.75,14.55,1843.8914798140509,208.52197265498,,42.89138622488496,9.863244591135278,
117,270520,after_ablation,sphincter,adult,,,64.3666393898305,64.5590475762712,7.657559352311314,703.9680162248524,6.103356082784119,6.525,6.075,,,,,,
118,270520,after_ablation,bulb,adult,5.94848134753119,11.77097783933518,63.36158616949152,64.5590475762712,3.1682803064093,,10.572418825903634,10.8,10.094801614472562,1579.3907469528529,184.7405659648321,,124.93791925688038,9.723929692925129,
119,270520,after_ablation,cap1,adult,6.02438660248922,11.00270637119114,63.40816518333337,,,,8.47639135909508,9.0,7.425,388.61823023863093,12.831482488215311,,373.15063895458763,35.8659999836842,
120,270520,after_ablation,cap2,adult,5.915190391262173,6.274349162011173,62.53825279245283,,,147.4333165072766,,,,523.0052689634928,48.212466752145865,9.860608731014008,6.094859725328077,0.9989280932893334,0.9385906936686756
121,270520,after_ablation,cap3,adult,5.931303947627947,7.58980055401662,62.35074945283018,,,113.7418826233231,,,,1490.508257785466,158.14605278513008,48.24280934428583,877.7894913193454,91.74838337500054,15.199807289165141
122,270520,after_ablation,cap4,adult,5.934942670560971,5.95845530726257,62.67264832075472,,,134.93425963086563,,,,337.81099146859873,29.710407635608224,8.534474992578895,828.8336153684284,88.98814946853429,8.945828975271366
